Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/{key},41,0,2,2.4627756095181144,1.028799999403418,5.94950000049721,46.75609756097561,0.6887531987860985,0.0,2,3,3,3,5,5,6,6,6,6,6
POST,/set,466,0,1205.686200000855,1212.9859375536432,1205.686200000855,1258.342499999344,14.753218884120171,7.828268064251754,0.0,1200,1200,1200,1200,1200,1300,1300,1300,1300,1300,1300
,Aggregated,507,0,1200.0,1115.09353195264,1.028799999403418,1258.342499999344,17.34122287968442,8.517021263037853,0.0,1200,1200,1200,1200,1200,1300,1300,1300,1300,1300,1300
