Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/{key},6195,0,53,53.19807554480912,51.01250000006985,78.88959999945655,45.640193704600485,104.48597652354673,0.0,53,53,54,54,55,55,56,57,61,79,79
POST,/set,73,0,610.0,606.1753753423645,602.7627000003122,620.5597999996826,14.123287671232877,1.2312310389376773,0.0,610,610,610,610,610,610,620,620,620,620,620
,Aggregated,6268,0,53,59.6383025526619,51.01250000006985,620.5597999996826,45.27313337587747,105.7172075624844,0.0,53,53,54,54,55,56,57,600,610,620,620
