Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/{key},759,0,55,54.465863241151325,51.49340000025404,71.84390000111307,47.569169960474305,12.778549060714587,0.0,55,55,55,55,56,57,59,60,72,72,72
POST,/set,805,0,610.0,607.5670845962463,602.400800000396,630.628599999909,14.888198757763975,13.553006579545775,0.0,610,610,610,610,610,610,610,610,630,630,630
,Aggregated,1564,0,600.0,339.1503154092147,51.49340000025404,630.628599999909,30.748081841432224,26.331555640260362,0.0,600,610,610,610,610,610,610,610,630,630,630
