Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/{key},6149,2,53,53.25730876566278,51.27419999917038,78.46620000054827,47.65002439421044,103.7598393767117,0.03374852476068034,53,53,54,54,55,55,56,57,68,78,78
POST,/set,656,0,44,44.09709131099002,5.889399999432499,56.17960000017774,14.862804878048781,11.06951612150315,0.0,44,45,46,46,47,48,49,50,56,56,56
,Aggregated,6805,2,53,52.374266495234245,5.889399999432499,78.46620000054827,44.48934606906686,114.82935549821485,0.03374852476068034,53,53,54,54,54,55,56,57,68,78,78
