Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/{key},3100,0,3,3.125522193545147,0.7175999999162741,16.35840000017197,47.22870967741935,52.182685414181314,0.0,3,3,4,4,5,6,7,8,16,16,16
POST,/set,361,0,1258.6687999992137,1245.9164108032553,1207.3031999989325,1258.6687999992137,14.692520775623269,6.07675788210305,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
,Aggregated,3461,0,3,132.7549676682939,0.7175999999162741,1258.6687999992137,43.83501878069922,58.25944329628436,0.0,3,4,4,5,1200,1300,1300,1300,1300,1300,1300
