Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/{key},11459,0,2,2.8607492974865263,0.6444999999075662,25.91220000067551,46.069552316956106,193.01929230305598,0.0,2,3,4,4,5,6,8,9,13,26,26
POST,/set,125,0,1258.8905000011437,1249.6729023999217,1215.4267000005348,1258.8905000011437,14.24,2.1055425026513657,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
,Aggregated,11584,0,2,16.314782372227867,0.6444999999075662,1258.8905000011437,45.72608770718232,195.12483480570737,0.0,2,3,4,4,5,7,9,1200,1300,1300,1300
