Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/{key},3519,0,53,53.74093267974209,51.199900000938214,71.03439999991679,47.3537936913896,59.34399521869259,0.0,53,54,55,55,56,56,57,58,66,71,71
POST,/set,429,0,610.0,606.228514452197,603.2285999990563,624.6699000002991,14.79020979020979,7.234604702705065,0.0,610,610,610,610,610,610,610,610,620,620,620
,Aggregated,3948,0,54,113.77567750760015,51.199900000938214,624.6699000002991,43.81534954407295,66.57859992139765,0.0,54,55,55,56,600,610,610,610,620,620,620
