Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/{key},715,3,53,52.755659720311925,51.410100000794046,58.87060000168276,48.79300699300699,12.034096668006567,0.05049271329233525,53,53,53,53,54,54,55,56,59,59,59
POST,/set,6694,0,44,44.65176804602338,0.8465999999316409,128.20319999991625,15.838661487899612,112.66607425963072,0.0,44,45,46,46,48,48,49,49,91,130,130
,Aggregated,7409,3,44,45.43382804698385,0.8465999999316409,128.20319999991625,19.018895937373465,124.70017092763729,0.05049271329233525,44,45,47,48,50,53,53,54,59,130,130
