Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/{key},11475,0,3,3.041354039223793,0.6261999988055322,19.321599998875172,45.93507625272331,193.42269638890818,0.0,3,3,4,4,5,6,7,8,10,17,19
POST,/set,126,0,1206.7010999999184,1211.1803698412657,1206.7010999999184,1223.898599999302,14.301587301587302,2.1238570583880114,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
,Aggregated,11601,0,3,16.163112162752505,0.6261999988055322,1223.898599999302,45.59150073269546,195.5465534472962,0.0,3,3,4,4,5,7,8,1200,1200,1200,1200
