Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/{key},3528,7,53,52.883077522689845,51.32149999917601,94.7344999985944,48.668083900226755,59.433526955033194,0.11792366459331982,53,53,53,53,54,54,55,56,72,95,95
POST,/set,3631,0,44,44.43233456347848,0.8925000001909211,74.20850000016799,15.70256127788488,61.168689448334895,0.0,44,45,46,46,48,48,49,50,53,74,74
,Aggregated,7159,7,49,48.59691357732102,0.8925000001909211,94.7344999985944,31.948177119709456,120.60221640336809,0.11792366459331982,49,52,53,53,53,54,55,55,70,95,95
