Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/{key},105,0,54,55.188631428695984,51.46210000020801,69.17620000058378,47.87619047619047,1.7663660652814046,0.0,54,55,56,56,59,64,67,69,69,69,69
POST,/set,896,0,610.0,606.5513515624808,602.7734999988752,615.7440000006318,14.899553571428571,15.072990423734652,0.0,610,610,610,610,610,610,610,610,620,620,620
,Aggregated,1001,0,610.0,548.716101198797,51.46210000020801,615.7440000006318,18.358641358641357,16.83935648901606,0.0,610,610,610,610,610,610,610,610,610,620,620
