Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/{key},3243,0,2,2.6958567992678013,0.7297000011021737,17.43750000059663,46.82886216466235,54.60124383209844,0.0,2,3,3,4,4,5,6,7,12,17,17
POST,/set,368,0,1206.30170000004,1211.4007269021695,1206.30170000004,1227.3626000005606,14.755434782608695,6.195885824918972,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
,Aggregated,3611,0,3,125.87597094988196,0.7297000011021737,1227.3626000005606,43.56023262254223,60.797129657017415,0.0,3,3,4,4,1200,1200,1200,1200,1200,1200,1200
