Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/{key},397,0,3,3.460869773339289,0.9418000008736271,32.349600000088685,47.56423173803527,6.705946850224786,0.0,3,4,4,4,5,8,10,16,32,32,32
POST,/set,455,0,1206.2731999994867,1212.0787151648428,1206.2731999994867,1227.2658999991108,14.802197802197803,7.685656969401203,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
,Aggregated,852,0,1200.0,648.9081933098822,0.9418000008736271,1227.2658999991108,30.068075117370892,14.391603819625988,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
