Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/{key},6640,0,53,53.781128283132965,51.265399999465444,82.6283999995212,45.40512048192771,112.03585175762166,0.0,53,54,54,55,56,57,58,59,65,83,83
POST,/set,60,0,44,39.94580666676484,5.86960000146064,49.559200000658166,14.05,1.0123721544363402,0.0,44,45,45,46,47,48,49,50,50,50,50
,Aggregated,6700,0,53,53.65722988059837,5.86960000146064,82.6283999995212,45.124328358208956,113.04822391205799,0.0,53,54,54,55,56,57,58,59,65,83,83
