Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/{key},41,0,6,6.345704878274374,1.2900000001536682,17.007000000376138,46.80487804878049,0.6947471963675477,0.0,6,8,8,9,10,17,17,17,17,17,17
POST,/set,465,0,1205.4528999997274,1211.9576417204144,1205.4528999997274,1237.268299999414,14.806451612903226,7.879449910022187,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
,Aggregated,506,0,1200.0,1114.269717984194,1.2900000001536682,1237.268299999414,17.399209486166008,8.574197106389734,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
